Issue ID,commit-URL,Type,
CASSANDRA-14800,https://github.com/apache/cassandra/commit/bd0cef9a369ae9245b45040796a6e10f51e522ce#,change load way,
HBASE-19619,https://github.com/apache/hbase/commit/41c2dd04da21bb76208f04af104df2e2f444970d#,change load way,
HBASE-21568,https://github.com/apache/hbase/commit/67d6d5084cf8fc094cda4bd3f091d8a0a9cb1d3e#,change load way,
SPARK-17920,https://github.com/apache/spark/commit/e0d7665cec1e6954d640f422c79ebba4c273be7d#,change load way,
SPARK-21839,https://github.com/apache/spark/commit/d8f45408635d4fccac557cb1e877dfe9267fb326#,change load way,
SPARK-21840,https://github.com/apache/spark/commit/3073344a2551fb198d63f2114a519ab97904cb55#,change load way,
SPARK-22151,https://github.com/apache/spark/commit/1272b2034d4eed4bfe60a49e1065871b3a3f96e0#,change load way,
SPARK-22219,https://github.com/apache/spark/commit/bbdcc3bf61da39704650d4570c6307b5a46f7100,change load way,
SPARK-22372,https://github.com/apache/spark/commit/e1dd03e42c2131b167b1e80c761291e88bfdf03f#,change load way,
SPARK-23207,https://github.com/apache/spark/commit/dad2d826ae9138f06751e5d092531a9e06028c21#,change load way,
SPARK-23514,https://github.com/apache/spark/commit/476a7f026bc45462067ebd39cd269147e84cd641#,change load way,
SPARK-23514,https://github.com/apache/spark/commit/dea381dfaa73e0cfb9a833b79c741b15ae274f64#,change load way,
SPARK-23640,https://github.com/apache/spark/commit/ae9172017c361e5c1039bc2ca94048117021974a#,change load way,
SPARK-24518,https://github.com/apache/spark/commit/33e77fa89b5805ecb1066fc534723527f70d37c7#,change load way,
SPARK-24680,https://github.com/apache/spark/commit/4d693ac904d89b3afeba107eb0480120daf78174#,change load way,
SPARK-26192,https://github.com/apache/spark/commit/5fd4d7499c9f2925268d84b5d74ecafaebe2113d#,change load way,
SPARK-27253,https://github.com/apache/spark/commit/fc9aad0957fa98ce7a1af2ba529a476b33eebd0e#,change load way,
SPARK-28907,https://github.com/apache/spark/commit/ca711778683a16999560cbdd7c61d98ad6bde6d,change load way,
SPARK-26598,https://github.com/apache/spark/commit/962e330955581aea032ff336a12f23374c39e67,change load way,
SPARK-28939,https://github.com/apache/spark/commit/ca6f693ef17ccb27a6ef5bdad9141abb2fe0434,change load way,
SPARK-29326,https://github.com/apache/spark/commit/91747bd91b410e2d3b7556d0d595fb8e42e4c6d,change load way,
SPARK-29530,https://github.com/apache/spark/commit/484f93e25506f84d1548504783be9ce940149bb,change load way,
SPARK Pull Request #25273,https://github.com/apache/spark/commit/fbaa177d2ac19501add708cc7f28e18d30ca15f,change load way,
SPARK-28642,https://github.com/apache/spark/commit/d19a56f9dbef4c995d80d4b46d03bfbfa4843c5,change load way,
SPARK-28675,https://github.com/apache/spark/commit/47af8925b60509d2a2c932e2bcf25394721c6f1,change load way,
HBASE-23212,https://github.com/apache/hbase/commit/10cc64a7d690429174405517b3e7d75e4f0998f,change load way,
SPARK-27555,https://github.com/apache/spark/commit/c66ec439456c5a160e3849e23c2ce3970d4c6ec7#,fall back place,
HBASE-17356,https://github.com/apache/hbase/commit/db66e6cc9e1c6ea027631388aba688cb623b7d0a#,hard-coded name,
HBASE-19672,https://github.com/apache/hbase/commit/0cd6050d090d11240a40c012716b3d747fbcb58f#,hard-coded name,
HBASE-21663,https://github.com/apache/hbase/commit/fbf79373e649d7cf3926b873e426fe0121f078c6#,hard-coded name,
HDFS-11345,https://github.com/apache/hadoop/commit/2c769167dbdb66c52d2ba7b7193a686444085570#,hard-coded name,
SPARK-16944,https://github.com/apache/spark/commit/4329eb2e73181819bb712f57ca9c7feac0d640ea#,hard-coded name,
SPARK-19558,https://github.com/apache/spark/commit/bd4eb9ce57da7bacff69d9ed958c94f349b7e6fb#,hard-coded name,
SPARK-20642,https://github.com/apache/spark/commit/74daf622de4e534d5a5929b424a6e836850eefad#,hard-coded name,
SPARK-21428,https://github.com/apache/spark/commit/581200af717bcefd11c9930ac063fe53c6fd2fde#,hard-coded name,
SPARK-22050,https://github.com/apache/spark/commit/1437e344ec0c29a44a19f4513986f5f184c44695#,hard-coded name,
SPARK-24665,https://github.com/apache/spark/commit/8f91c697e251423b826cd6ac4ddd9e2dac15b96e#,hard-coded name,
SPARK-25300,https://github.com/apache/spark/commit/ca861fea21adc4e6ec95eced7076cb27fc86ea18#,hard-coded name,
SPARK-26443,https://github.com/apache/spark/commit/e6d3e7d0d8c80adaa51b43d76f1cc83bb9a010b9#,hard-coded name,
SPARK-26463,https://github.com/apache/spark/commit/7bf0794651f4d11547325539ebf7131a57ee1ba2#,hard-coded name,
SPARK-26470,https://github.com/apache/spark/commit/b1a9b5eff59f64c370cd7388761effdf2152a108#,hard-coded name,
SPARK-26477,https://github.com/apache/spark/commit/64cc9e572e0213d5dea241b2b48ecdd68a5c6c99#,hard-coded name,
SPARK-26698,https://github.com/apache/spark/commit/aa3d16d68b7ebd9210c330905f01590ef93d875c#,hard-coded name,
SPARK-27141,https://github.com/apache/spark/commit/8204dc1e548b87aabaf36c5800592bafd44e4419#,hard-coded name,
SPARK-27184,https://github.com/apache/spark/commit/68abf77b1ad8da7916a9dc5fa8bb350b64479410#,hard-coded name,
SPARK-27343,https://github.com/apache/spark/commit/5a8aad01c2aaf0ceef8e9a3cfabbd2e88c8d9f0d#,hard-coded name,
SPARK-27649,https://github.com/apache/spark/commit/8329e7debdaf6db9f3a52094bbc5dc4c1e2771ea#,hard-coded name,
SPARK-27844,https://github.com/apache/spark/commit/447bfdec830ba5eaaee791e86caad39f4f6661eb#,hard-coded name,
SPARK-28257,https://github.com/apache/spark/commit/42b80ae128ab1aa8a87c1376fe88e2cde52e6e4,hard-coded name,
SPARK-25694,https://github.com/apache/spark/commit/8469614c0513fbed87977d4e741649db3fdd8ad,hard-coded name,
HBASE-22859,https://github.com/apache/hbase/commit/018396d84cfe1008308f341562154452f4a45ac,hard-coded name,
SPARK-21786,https://github.com/apache/spark/commit/00d169156d4b1c91d2bcfd788b254b03c509dc41#,load overriden,
CASSANDRA-13614,https://github.com/apache/cassandra/commit/613a8b43d2b5a425080653898b28bde6cd7eb9ba#,refine API,
CASSANDRA-13699,https://github.com/apache/cassandra/commit/cf4a0576a6f2b8f2d828a8b14140f212803adb7c#,refine API,
HBASE-19621,https://github.com/apache/hbase/commit/1556939236016bb51e45ffa1e8038c74e0f0db75#,refine API,
HBASE-21492,https://github.com/apache/hbase/commit/7877e09b6023c80e8bacd25fb8e0b9273ed7d258#,refine API,
HDFS-13222,https://github.com/apache/hadoop/commit/88fba00caa8c8e26f70deb9be5b534e7482620a1#,refine API,
SPARK-24003,https://github.com/apache/spark/commit/007ae6878f4b4defe1f08114212fa7289fc9ee4a#,refine API,
SPARK-24250,https://github.com/apache/spark/commit/dd37529a8dada6ed8a49b8ce50875268f6a20cba#,refine API,
SPARK-24782,https://github.com/apache/spark/commit/e008ad175256a3192fdcbd2c4793044d52f46d57#,refine API,
SPARK-26384,https://github.com/apache/spark/commit/3c0bb6bc45e64fd82052d7857f2a06c34f0c1793#,refine API,
HBASE-20856,https://github.com/apache/hbase/commit/1d0fca370bf56a41fc62b72bebe86a7185a2b0c2#,refine API,
HBASE-21203,https://github.com/apache/hbase/commit/0e173d38b05363e1fb5c85955a4964f05958c1fc#,refine API,
HDFS-14051,https://github.com/apache/hadoop/commit/f0ce072934515d39e9bf61744058ecad3393291e#,refine API,
SPARK-28840,https://github.com/apache/spark/commit/7e6142591f3bc865806b86c7a7b90be008a319d,refine API,
SPARK-28957,https://github.com/apache/spark/commit/d8b0914c2e0fdee72a3b9abb2d65283e22b6e8e,refine API,
SPARK-10614,https://github.com/apache/spark/commit/857f109c47b26a38f5d114a94f94c516177db3f,refine API,
SPARK-30195,https://github.com/apache/spark/commit/33f53cb2d51b62f4c294c8640dc069e42f36d68,refine API,
SPARK-29158,https://github.com/apache/spark/commit/bd05339171db00c2f2dd89702f9500ed6e1e321,refine API,
SPARK-28922,https://github.com/apache/spark/commit/d502c80404c398d852dfa5f86a0e87c104a6286,refine API,
HBASE-23379,https://github.com/apache/hbase/commit/c39339c0046560b8f2083af513f384127e3f46d,refine API,
CASSANDRA-15277,https://github.com/apache/cassandra/commit/860de83a02f3b7711e842a58a073802b9920a1a1,refine API,
HBASE-20879,https://github.com/apache/hbase/commit/2997b6d0714d5542784baf830e7c16a9ef6b62d6#,refine API (sensitive),
CASSANDRA-14716,https://github.com/apache/cassandra/commit/cdeac4992bdb1f569c3a04b628ded7e5351364ee#,refine API(case sensitive),
SPARK-25415,https://github.com/apache/spark/commit/d522a563ad5ab157993a19f406a3cc6f443ccb9e#,refine API(case sensitive),
HDFS-14039,https://github.com/apache/hadoop/commit/8d99648c203004045a9339ad27258092969145d6#,refine API(trimmed),
HBASE-21639,https://github.com/apache/hbase/commit/6da0b4ec34727240e433825382cfc30366340097#,refine API(Unit),
HDFS-12085,https://github.com/apache/hadoop/commit/3a7f02b81520ad4d3eebf92e9dbca662beec0302#,refine API(Unit),
SPARK-21033,https://github.com/apache/spark/commit/083cf223569b7896e35ff1d53a73498a4971b28d#,refine API(Unit),
SPARK-24332,https://github.com/apache/spark/commit/53c06ddabbdf689f8823807445849ad63173676f#,refine API(Unit),
SPARK-24452,https://github.com/apache/spark/commit/90da7dc241f8eec2348c0434312c97c116330bc4#,refine API(Unit),
CASSANDRA-14314,https://github.com/apache/cassandra/commit/11496039fb18bb45407246602e31740c56d28157#,wrong API,
CASSANDRA-15019,https://github.com/apache/cassandra/commit/99ce007c5beb7988ce83fb1443a1e0ca259264cc#,wrong API,
SPARK-29015,https://github.com/apache/spark/commit/cc852d4eec696731cef9ddd6fb0c0c2184194f6,wrong API,
SPARK-28331,https://github.com/apache/spark/commit/c88df2ccf670db62aed6565c9dbdb58d5d5cca3,wrong API,
