Issue-id,Title,Parameter,Issue-URL,Commit-URL,Inconsistency
CASSANDRA-13664,Only optimize large ranges when figuring out where to stream from,DatabaseDescriptor.getPartitioner,https://issues.apache.org/jira/browse/CASSANDRA-13664,https://github.com/apache/cassandra/commit/ff06424faccc8acedd027c71e955a38fd8ddee6c,/
CASSANDRA-13740,Delay hints store excise by write timeout to avoid race with decommission,DatabaseDescriptor.getMinRpcTimeout(),https://issues.apache.org/jira/browse/CASSANDRA-13740,https://github.com/apache/cassandra/commit/b2f6ce961f38a3e4cd744e102026bf7a471056c9,/
CASSANDRA-13740,Delay hints store excise by write timeout to avoid race with decommission,DatabaseDescriptor.getWriteRpcTimeout(),https://issues.apache.org/jira/browse/CASSANDRA-13740,https://github.com/apache/cassandra/commit/b2f6ce961f38a3e4cd744e102026bf7a471056c9,/
CASSANDRA-14153,Delete temp test files on exit,java.io.tmpdir,https://issues.apache.org/jira/browse/CASSANDRA-14153,https://github.com/apache/cassandra/commit/8587b0ceb47fa54308dfa9b0bfdc320e6afdc311,/
CASSANDRA-14225,Fix comparison of address and port for repair and messages,DatabaseDescriptor.getStoragePort(),https://issues.apache.org/jira/browse/CASSANDRA-14225,https://github.com/apache/cassandra/commit/834f2a6ecdb8974839762bf4e9c5fed32163f9c8,/
CASSANDRA-14435,Add JMX query support for diagnostic events,DatabaseDescriptor.diagnosticEventsEnabled(),https://issues.apache.org/jira/browse/CASSANDRA-14435,https://github.com/apache/cassandra/commit/a79e5903b552e40f77c151e23172f054ffb7f39e,/
CASSANDRA-14619,Add fqltool compare,DatabaseDescriptor.clientInitialization(),https://issues.apache.org/jira/browse/CASSANDRA-14619,https://github.com/apache/cassandra/commit/f83bd5ac2bbc6755213a6ad0675e7e5400c79670,/
CASSANDRA-14938,Add specialized IndexRegistry for offline tools/clients,DatabaseDescriptor.isDaemonInitialized(),https://issues.apache.org/jira/browse/CASSANDRA-14938,https://github.com/apache/cassandra/commit/3ddfbc8f5871c78bde26e96a936e96deeccb4366,/
HBASE-18347,Implement a BufferedMutator for async client,hbase.client.write.buffer,https://issues.apache.org/jira/browse/HBASE-18347,https://github.com/apache/hbase/commit/d12eb7a4aae5c2dc7b230bf2a12d2313b93b8ba9,/
HBASE-19747,Introduce a special WALProvider for synchronous replication,hbase.hlog.open.timeout,https://issues.apache.org/jira/browse/HBASE-19747,https://github.com/apache/hbase/commit/274b813e1221c366e2c4773910d202b65298768f,/
HBASE-19747,Introduce a special WALProvider for synchronous replication,hbase.regionserver.hlog.reader.impl,https://issues.apache.org/jira/browse/HBASE-19747,https://github.com/apache/hbase/commit/274b813e1221c366e2c4773910d202b65298768f,/
HBASE-20466,Consistently use override mechanism for exempt classes in CoprocessorClassloader,CP_HTD_ATTR_INCLUSION_KEY,https://issues.apache.org/jira/browse/HBASE-20466,https://github.com/apache/hbase/commit/a8be3bb814378805a1b5eae85826c9eff3768534,/
HBASE-21247,Custom WAL Provider cannot be specified by CONFIGuration whose value is outside the enums in Providers,hbase.wal.provider,https://issues.apache.org/jira/browse/HBASE-21247,https://github.com/apache/hbase/commit/7395ffac447bdb159b5c9a2bc65f95af0eea11fe,/
HBASE-21809,Add retry thrift client for ThriftTable/Admin,HBASE_CLIENT_RETRIES_NUMBER,https://issues.apache.org/jira/browse/HBASE-21809,https://github.com/apache/hbase/commit/2776bc0151051c8d20d9b1c2ac6142ade6a31b62,/
HBASE-22261,Make use of ClusterStatusListener for async client,STATUS_PUBLISHED,https://issues.apache.org/jira/browse/HBASE-22261,https://github.com/apache/hbase/commit/eb912bb1dab793248f47d6ed8ee6f8abb467d10b,/
HDFS-11576,Block recovery will fail indefinitely if recovery time >heartbeat interval,DFS_HEARTBEAT_INTERVAL_KEY,https://issues.apache.org/jira/browse/HDFS-11576,https://github.com/apache/hadoop/commit/5304698dc8c5667c33e6ed9c4a827ef57172a723,/
HDFS-12158,Secondary Namenode's web interface lack configs for X-FRAME-OPTIONS protection.,DFS_XFRAME_OPTION_ENABLED,https://issues.apache.org/jira/browse/HDFS-12158,https://github.com/apache/hadoop/commit/413b23eb04eee24275257ab462133e0818f87449,/
HDFS-12158,Secondary Namenode's web interface lack configs for X-FRAME-OPTIONS protection.,DFS_XFRAME_OPTION_VALUE,https://issues.apache.org/jira/browse/HDFS-12158,https://github.com/apache/hadoop/commit/413b23eb04eee24275257ab462133e0818f87449,/
HDFS-12976,Introduce ObserverReadProxyProvider.,HdfsClientConfigKeys.Failover.RANDOM_ORDER,https://issues.apache.org/jira/browse/HDFS-12976,https://github.com/apache/hadoop/commit/64b7cf59bde66bc58f67d2c3a97324ef679fb60a,/
HDFS-13328,Abstract ReencryptionHandler recursive logic in separate class.,DFS_NAMENODE_READ_LOCK_REPORTING_THRESHOLD_MS_KEY,https://issues.apache.org/jira/browse/HDFS-13328,https://github.com/apache/hadoop/commit/f89594f0b80e8efffdcb887daa4a18a2b0a228b3,/
HDFS-13608,Add ability for JournalNode to serve edits via RPC,DFS_HA_TAILEDITS_INPROGRESS_KEY,https://issues.apache.org/jira/browse/HDFS-13608,https://github.com/apache/hadoop/commit/151c8ddbe4c05fcb5f251fa4450edc452f6c735a,/
HDFS-13782,ObserverReadProxyProvider should work with IPFailoverProxyProvider.,DFS_NAMENODE_RPC_ADDRESS_KEY,https://issues.apache.org/jira/browse/HDFS-13782,https://github.com/apache/hadoop/commit/f9fc01cd7fef2fab1a6f696653b5de1d821b4d2a,/
HDFS-13856,RBF: RouterAdmin should support dfsrouteradmin -refreshRouterArgs command,DFS_NAMENODE_KERBEROS_PRINCIPAL_KEY,https://issues.apache.org/jira/browse/HDFS-13856,https://github.com/apache/hadoop/commit/f4e2bfce585d762eaf26096613d135203f080eb3,/
