Issue-ID,Parameter,Title,Issue-URL,Commit-URL,Param type,Rationale,New scenario/use case,Impact,Note,discussion,Whether documented
SPARK-20728,spark.sql.orc.impl,[SQL] Make OrcFileFormat CONFIGurable between sql/hive and sql/core,https://issues.apache.org/jira/browse/SPARK-20728,https://github.com/apache/spark/commit/326f1d6728a7734c228d8bfaa69442a1c7b92e9b,class implementation,compatibility,concrete,/,This issue depends on SPARK-20682 and aims to provide a configuration to choose the default ORCFileFormat from legacy `sql/hive` module or new `sql/core` module.,/,no
SPARK-25129,spark.sql.legacy.replaceDatabricksSparkAvro.enabled,Make the mapping of com.databricks.spark.avro to built-in module configurable,https://issues.apache.org/jira/browse/SPARK-25129,https://github.com/apache/spark/commit/ac0174e55af2e935d41545721e9f430c942b3a0c,feature selection,compatibility,concrete,/,"In https://issues.apache.org/jira/browse/SPARK-24924, the data source provider com.databricks.spark.avro is mapped to the new package org.apache.spark.sql.avro. make the mapping of com.databricks.avro => internal avro configurable, that would allow them to continue use their version of com.databricks.avro until they can update api.",/,no
SPARK-28730,spark.sql.storeAssignmentPolicy,Configurable type coercion policy for table insertion,https://issues.apache.org/jira/browse/SPARK-28730,https://github.com/apache/spark/commit/895c90b582cc2b2667241f66d5b733852aeef9e,policy,compatibility,concrete,/,"To ensure backward compatibility with existing queries, the default store assignment policy for data source V1 is ""legacy"" before ANSI mode is implemented.",Balancing flexibility and simplicity: You can't deny this large class of use cases out there (probably makes up half of Spark use cases actually),no
HBASE-23081,hbase.balancer.rsgroup.enabled,Add an option to enable/disable rs group feature,https://issues.apache.org/jira/browse/HBASE-23081,https://github.com/apache/hbase/commit/0f4a87c24dc8d5c29e31df27ec741fbca9981c9,feature selection,compatibility,Concrete task: if you want the pre 3.0.0 hbase client/shell to communicate with the new hbase cluster,/,"The coprocessor org.apache.hadoop.hbase.rsgroup.RSGroupAdminEndpoint is deprected, but for compatible, if you want the pre 3.0.0 hbase client/shell to communicate with the new hbase cluster, you still need to add this coprocessor to master.",/,no
SPARK-28395,spark.sql.function.preferIntegralDivision,Division operator support integral division,https://issues.apache.org/jira/browse/SPARK-28395,https://github.com/apache/spark/commit/69268492471137dd7a3da54c218026c3b1fa7db,feature selection,compatibility,unknow,/,This pr add a flag(`spark.sql.function.preferIntegralDivision`) to control whether to use integral division with the `/` operator.,/,no
SPARK-20331,spark.sql.hive.advancedPartitionPredicatePushdown.enabled,[SQL][FOLLOW-UP] Add a SQLConf for enhanced Hive partition pruning predicate pushdown,https://issues.apache.org/jira/browse/SPARK-20331,https://github.com/apache/spark/commit/d8cada8d1d3fce979a4bc1f9879593206722a3b9#,feature selection,compatibility,vague,/,we don't backport such risky changes to maintenance branches.,/,no
SPARK-20923,spark.taskMetrics.trackUpdatedBlockStatuses,turn tracking of TaskMetrics._updatedBlockStatuses off,https://issues.apache.org/jira/browse/SPARK-20923,https://github.com/apache/spark/commit/5b5a69bea9de806e2c39b04b248ee82a7b664d7b#,feature selection,compatibility,vague,/,We leave the api there as well as a config to turn it back on just in case anyone is using it.,Balancing flexibility and simplicity:If its not being used we should remove it,no
SPARK-24307,spark.network.remoteReadNioBufferConversion,[CORE] Add conf to revert to old code.,https://issues.apache.org/jira/browse/SPARK-24307,https://github.com/apache/spark/commit/2c82745686f4456c4d5c84040a431dcb5b6cb60b,feature selection,compatibility,vague,/,"In case there are any issues in converting FileSegmentManagedBuffer to ChunkedByteBuffer, add a conf to go back to old code path.",/,no
SPARK-27253,spark.sql.legacy.sessionInitWithConfigDefaults,Add a legacy flag to restore old session init behavior,https://issues.apache.org/jira/browse/SPARK-27253,https://github.com/apache/spark/commit/83f628b57da39ad9732d1393aebac373634a2eb9,feature selection,compatibility,vague,/,"Add a legacy flag to restore the old session init behavior, where SparkConf defaults take precedence over configs in a parent session.",/,no
CASSANDRA-14659,native_transport_allow_older_protocols,Disable old native protocol versions on demand,https://issues.apache.org/jira/browse/CASSANDRA-14659,https://github.com/apache/cassandra/commit/7b61b0be88ef1fcc29646ae8bdbb05da825bc1b2,feature selection,compatibility,concrete,/,This will help operators selectively reject connections from clients that do not support the latest protoocol.,/,yes
