Issue ID,Commit Link,Title
HBASE-19935,https://github.com/apache/hbase/commit/00e54aae24d88ac9c2b84db5ea1eaf11c3e5d73c,Only allow table replication for sync replication for now
HBASE-19505,https://github.com/apache/hbase/commit/018a65b947a7e78fb98a190d75787f50d42d0711,Disable ByteBufferPool by default at HM.
HBASE-18108,https://github.com/apache/hbase/commit/023d4f1ae8081da3cb9ff54e6b2e545799704ce7,Procedure WALs are archived but not cleaned; fixThe archived Procedure WALs are moved to <hbase_root>/oldWALs/masterProcedureWALsdirectory. 
HBASE-19492,https://github.com/apache/hbase/commit/03e79b79949a63f7320b4c51fecca40f93659bd9,Add EXCLUDE_NAMESPACE and EXCLUDE_TABLECFS support to replication peer config
HBASE-20159,https://github.com/apache/hbase/commit/061a31fad1654d9ded96d118e04c14860413fa25,Support using separate ZK quorums for client
HBASE-19919,https://github.com/apache/hbase/commit/06dec205826a6e96e2286180460e5fe014b46fc8,Tidying up logging
HBASE-21247,https://github.com/apache/hbase/commit/0789f544547505fd457a3a75cf66241dfe1243c0,Allow WAL Provider to be specified by configuration without explicit enum in Providers
HBASE-20469,https://github.com/apache/hbase/commit/092efb42749bf7fc6ad338c96aae8e7b9d3a2c74,Directory used for sidelining old recovered edits files should be made configurable
HBASE-18994,https://github.com/apache/hbase/commit/0acfba0e35933d1008c9ade721055dafc137b50f,Decide if META/System tables should use Compacting Memstore orDefault Memstore
HBASE-12091,https://github.com/apache/hbase/commit/0c4fbcc32973e9fb3840cb2b5e397155044c2b0c,Optionally ignore edits for dropped tables for replication.
HBASE-19672,https://github.com/apache/hbase/commit/0cd6050d090d11240a40c012716b3d747fbcb58f,Correct comments for default values of major compaction in SortedCompactionPolicy#getNextMajorCompactTime()
HBASE-21203,https://github.com/apache/hbase/commit/0e173d38b05363e1fb5c85955a4964f05958c1fc,HBASE-20734 Colocate recovered edits directory with hbase.wal.dir
HBASE-18533,https://github.com/apache/hbase/commit/0e32869f01697abf29292aa786d0cdcca10213c6,"Expose BucketCache values to be configuredBefore this commit, BucketCache always used the default values.This commit adds the ability to configure these values"
HBASE-18023,https://github.com/apache/hbase/commit/0e8e176ebd3bd17d969d17ce2b0aa3dafb93fa22,Log multi-* requests for more than threshold number of rows
HBASE-19630,https://github.com/apache/hbase/commit/1025388da6df8516fbbdf0dc21249660602f0b01,Add peer cluster key check when add new replication peer
HBASE-22001,https://github.com/apache/hbase/commit/10ca598004ae7db38945145b232a1c809e4ef6b1,Polish the Admin interface
HBASE-19394,https://github.com/apache/hbase/commit/11467ef11126c77b3692479730752ee38dff20a6,Support multi-homing env for the publication of RS status with multicast
HBASE-19144,https://github.com/apache/hbase/commit/125f3eace9b35e7947721bba5175ca5dc48921e8,[RSgroups] Retry assignments in FAILED_OPEN state when servers (re)join the cluster
HBASE-19621,https://github.com/apache/hbase/commit/1556939236016bb51e45ffa1e8038c74e0f0db75,Revisit the methods in ReplicationPeerConfigBuilder
